start_station_name,member_casual,number_of_rides
Public Rack - Colfax Ave & 83rd St,casual,5
Public Rack - Commercial Ave & 89th St,member,5
Public Rack - Cottage Grove Ave & 87th St,member,5
Public Rack - Division St & Christiana Ave,casual,5
Public Rack - Ewing Ave & 99th St,casual,5
Public Rack - Fairfield Ave & 63rd St,casual,5
Public Rack - Francisco Ave & Touhy Ave,member,5
Public Rack - Halsted St & 102nd St,member,5
Public Rack - Hamlin Ave & Madison St,casual,5
Public Rack - Harding Ave & 47th St,member,5
Public Rack - Harlem and W. 59th,member,5
Public Rack - Homan Ave & Lake St,member,5
Public Rack - Irving Park Rd & Menard Ave,member,5
Public Rack - Jeffery Blvd & 83rd St,member,5
Public Rack - Kedvale Ave & Addison St,casual,5
Public Rack - Kedvale Ave & Avondale Ave,casual,5
Public Rack - Kedzie Ave & 60th St,casual,5
Public Rack - Kedzie Ave & 61st Pl E,member,5
Public Rack - Kedzie Ave & 61st Pl W,member,5
